Fri. Sep. 28, 2012             LANDSAT 7                 Time: 08:22
                         Image Assessment System
                           GCP Residual Report
----------------------------------------------------------------------------
WOID: L4864603            Path/Row: 014 / 032

L0R Reference Image: L72EDC1999186150200_HDF.122720336
Acquisition Date: Jul 05, 1999

Band Number:  5

GeoCover date for each WRS-2 path/row used:
Path  Row   Date
014   032   1999-09-23


Point_ID      Latitude  Longitude    Height       Across    Along    Residual  Residual
                                                   Scan      Scan      In y      in x
                                                 Residual  Residual    dir       dir
                (deg)     (deg)     (meters)     (meters)  (meters)  (meters)  (meters)

0140320171   40.738841  -73.956691   -29.439       4.418    -2.042     4.718    -1.185
0140320172   41.040536  -74.560500   350.538      -1.440     0.672    -1.537     0.393
0140320173   40.275648  -75.127271    32.041       0.011    -0.131     0.035    -0.127
0140320174   40.536326  -74.667604    -2.483      -0.617     3.501    -1.255     3.323
0140320175   40.136247  -74.966428    18.302       1.547     1.749     1.194     2.005
0140320176   39.781216  -75.811963    87.145      -0.474     0.420    -0.545     0.324
0140320178   40.324814  -76.011246    78.057       1.871    -0.352     1.902     0.001
0140320179   40.809197  -75.617710   157.267       3.046    -1.718     3.308    -1.123
0140320180   39.911319  -76.037781   182.398      -2.282    -2.163    -1.838    -2.547
0140320181   40.684581  -75.447922    84.718      -0.962    -0.790    -0.798    -0.954
0140320182   40.615281  -73.760014   -30.019       3.339    -1.001     3.465    -0.362
0140320183   39.935350  -75.131554   -31.000       5.193    -5.524     6.127    -4.458
0140320184   40.303536  -74.639447    -4.498       0.774     3.684     0.076     3.762
0140320185   40.051410  -74.655903     3.968      -3.222     4.247    -3.952     3.570
0140320186   40.409024  -74.513721    -3.080      -2.010    -0.369    -1.905    -0.735
0140320187   40.780757  -74.370584    21.494       0.549    -4.763     1.421    -4.575
0140320188   40.470472  -75.389520   144.556       0.079     2.950    -0.471     2.910
0140320189   39.950619  -74.778275   -19.052      -2.238     3.539    -2.856     3.059
0140320190   41.070605  -75.782626   392.013       3.728     0.386     3.587     1.067
0140320191   40.620949  -75.478000    48.317       4.481    -5.233     5.370    -4.308
0140320192   40.289450  -74.126693   -15.000      -4.774     2.305    -5.115     1.376
0140320193   40.086216  -74.913316   -28.990       3.574     0.680     3.383     1.332
0140320194   40.077526  -75.130068    25.598      -0.079    -0.118    -0.055    -0.130
0140320195   40.067056  -74.978071   -21.573       0.692    -0.446     0.763    -0.309
0140320196   40.804703  -75.648610   192.210       0.286     2.601    -0.202     2.607
0140320197   39.942830  -74.184843   -32.886       1.577    -1.837     1.890    -1.509
0140320198   40.472393  -74.857966    14.866      -1.027     1.159    -1.224     0.948
0140320199   40.504123  -75.494873   146.230      -2.607    -0.462    -2.474    -0.937
0140320200   40.637419  -74.074636   -28.778       4.259    -2.476     4.642    -1.640
0140320201   40.297003  -74.374743    -3.412      -4.475     5.213    -5.361     4.287
0140320202   39.968397  -75.560543    98.338      -1.326     0.541    -1.403     0.284
0140320203   40.148954  -75.013971    35.787       2.629     2.381     2.139     2.826
0140320204   40.572870  -75.588949   106.261       1.968    -2.544     2.403    -2.133
0140320205   40.149740  -74.333476     0.859      -1.147     1.814    -1.463     1.568
0140320206   39.565970  -74.775314   -17.062       1.892    -6.182     3.009    -5.716
0140320207   40.200172  -75.468687    49.100       1.066     1.603     0.749     1.771
0140320208   40.909406  -74.123574   -10.782      -1.280    -3.832    -0.547    -4.000
0140320209   40.522565  -74.520339    -8.094      -0.989     0.331    -1.032     0.141
0140320210   40.209449  -75.569575     8.166      -0.352    -0.186    -0.311    -0.248
0140320211   39.936623  -74.811678   -24.896      -3.342     4.364    -4.093     3.663
0140320212   39.798738  -74.181290   -31.000      -1.322    -4.098    -0.535    -4.270
0140320213   40.594835  -74.280858   -25.276       0.189     0.536     0.087     0.562
0140320215   40.043780  -75.086747    -2.464       5.935    -2.541     6.300    -1.391
0140320216   40.217498  -75.296750    75.995       3.306    -0.889     3.411    -0.259
0140320217   40.197160  -75.202200    54.415      -4.250     2.283    -4.597     1.452
0140320218   40.093001  -75.033668    13.399       2.738    -0.956     2.866    -0.430
0140320219   39.796021  -75.740303    91.852       1.044    -0.413     1.101    -0.212
0140320220   39.770279  -75.499035    28.196      -1.200    -2.867    -0.644    -3.037
0140320221   39.679485  -75.932856    70.882      -1.123     1.473    -1.377     1.238
0140320222   41.025517  -74.264774    82.617      -0.743     5.537    -1.754     5.300
0140320223   40.286308  -75.488693    60.200       0.364     5.179    -0.605     5.153
0140320224   40.350552  -75.265186   100.892      -1.673     1.737    -1.965     1.395
0140320225   39.975758  -74.582504    -7.995       0.217     1.788    -0.119     1.796
0140320226   40.196717  -74.864888    24.075       0.013     2.156    -0.388     2.119
0140320227   39.831415  -75.548209    80.896       0.001    -4.525     0.843    -4.442
0140320229   40.738885  -74.160992   -25.810       3.670    -2.149     4.003    -1.429
0140320230   40.391268  -75.769757    82.405      -3.070    -3.133    -2.432    -3.645
0140320231   39.746889  -74.531364   -16.000       2.654    -5.209     3.576    -4.619
0140320232   40.782947  -74.125950    -4.197       1.273    -2.262     1.670    -1.985
0140320233   40.714229  -74.229495    16.515       2.637     0.341     2.527     0.824
0140320234   39.645427  -74.507924   -28.248      -0.775    -2.932    -0.214    -3.022
0140320235   40.406302  -75.700632   117.102      -3.646    -0.909    -3.411    -1.568
0140320237   40.336631  -74.594416    -9.970       0.824     1.298     0.569     1.428
0140320238   39.605302  -74.863598   -10.390       1.548    -3.681     2.206    -3.325
0140320239   39.997234  -75.947357   189.926      -2.040    -1.239    -1.773    -1.596
0140320240   40.338783  -74.183275    -7.460      -3.280     3.442    -3.859     2.770
0140320241   39.790937  -75.921746   117.178       1.633     3.961     0.864     4.192
0140320242   40.088858  -75.764932   125.467      -2.724     1.026    -2.865     0.501
0140320243   39.730341  -74.260167   -16.282      -2.181    -1.370    -1.885    -1.752
0140320244   40.357070  -74.976918     8.311       0.397     0.335     0.328     0.403
0140320245   40.306679  -75.391401    69.328      -0.487     0.674    -0.604     0.571
0140320247   40.664464  -73.950398    -8.931       2.040     0.773     1.860     1.139
0140320248   40.649103  -75.769519   147.981      -5.187    -5.359    -4.099    -6.222
0140320250   41.041520  -74.118968    52.280      -0.941    -1.963    -0.561    -2.102
